
List of user-set options:

                                    Name   Value                used
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
              limited_memory_update_type = bfgs                  yes
                           linear_solver = mumps                 yes
                                max_iter = 600                   yes
                      nlp_scaling_method = gradient-based        yes
                             output_file = IPOPT.out             yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 0.0001                yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:        6
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:        6
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        6
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.1387001e+07 0.00e+00 2.56e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.3127827e+07 0.00e+00 3.08e+02   3.4 1.40e+03    -  9.91e-01 2.50e-01f  3
   2  1.7171118e+07 0.00e+00 7.17e+02   3.6 3.94e+03    -  1.00e+00 1.00e+00f  1
   3  1.3526409e+07 0.00e+00 4.55e+01   2.9 3.36e+02    -  1.00e+00 1.00e+00f  1
   4  7.8874391e+06 0.00e+00 5.27e+01   2.2 5.52e+03    -  1.00e+00 1.00e+00f  1
   5  4.6518605e+06 0.00e+00 3.12e+01   1.6 3.64e+02    -  1.00e+00 9.99e-01f  1
   6  2.8282112e+06 0.00e+00 2.14e+01   0.6 1.24e+01    -  9.89e-01 1.00e+00f  1
   7  1.9856394e+06 0.00e+00 2.81e+01   1.4 5.71e+01    -  1.00e+00 1.00e+00f  1
   8  1.5340414e+06 0.00e+00 1.12e+01   1.6 8.50e+01    -  1.00e+00 8.52e-01f  1
   9  1.2177855e+06 0.00e+00 6.03e+00  -0.4 2.36e+00    -  9.39e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.0970240e+06 0.00e+00 2.57e+00  -1.0 9.32e-01    -  1.00e+00 1.00e+00f  1
  11  1.0796209e+06 0.00e+00 3.82e-01  -1.2 3.01e-01    -  1.00e+00 9.73e-01f  1
  12  1.0624734e+06 0.00e+00 1.22e+00  -2.8 1.10e+01    -  1.00e+00 9.44e-01f  1
  13  1.0445794e+06 0.00e+00 3.09e-01  -4.6 1.12e+01    -  1.00e+00 1.00e+00f  1
  14  1.0260273e+06 0.00e+00 3.16e-01  -6.6 1.14e+01    -  1.00e+00 9.97e-01f  1
  15  1.0255079e+06 0.00e+00 3.16e-01  -7.4 3.16e-01    -  1.00e+00 1.00e+00f  1
  16  1.0249903e+06 0.00e+00 3.16e-01  -9.3 3.16e-01    -  1.00e+00 9.95e-01f  1
  17  1.0244697e+06 0.00e+00 3.17e-01 -11.0 3.16e-01    -  1.00e+00 1.00e+00f  1
  18  1.0239484e+06 0.00e+00 3.17e-01 -11.0 3.17e-01    -  1.00e+00 1.00e+00f  1
  19  1.0234266e+06 0.00e+00 3.17e-01 -11.0 3.17e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.0229042e+06 0.00e+00 3.17e-01 -11.0 3.17e-01    -  1.00e+00 1.00e+00f  1
  21  1.0223811e+06 0.00e+00 3.17e-01 -11.0 3.17e-01    -  1.00e+00 1.00e+00f  1
  22  1.0218575e+06 0.00e+00 3.18e-01 -11.0 3.17e-01    -  1.00e+00 1.00e+00f  1
  23  1.0213332e+06 0.00e+00 3.18e-01 -11.0 3.18e-01    -  1.00e+00 1.00e+00f  1
  24  1.0208083e+06 0.00e+00 3.18e-01 -11.0 3.18e-01    -  1.00e+00 1.00e+00f  1
  25  1.0202829e+06 0.00e+00 3.18e-01 -11.0 3.18e-01    -  1.00e+00 1.00e+00f  1
  26  1.0197568e+06 0.00e+00 3.18e-01 -11.0 3.18e-01    -  1.00e+00 1.00e+00f  1
  27  1.0192301e+06 0.00e+00 3.18e-01 -11.0 3.18e-01    -  1.00e+00 1.00e+00f  1
  28  1.0187028e+06 0.00e+00 3.19e-01 -11.0 3.18e-01    -  1.00e+00 1.00e+00f  1
  29  1.0181748e+06 0.00e+00 3.19e-01 -11.0 3.19e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.0176463e+06 0.00e+00 3.19e-01 -11.0 3.19e-01    -  1.00e+00 1.00e+00f  1
  31  1.0171172e+06 0.00e+00 3.19e-01 -11.0 3.19e-01    -  1.00e+00 1.00e+00f  1
  32  1.0165874e+06 0.00e+00 3.19e-01 -11.0 3.19e-01    -  1.00e+00 1.00e+00f  1
  33  1.0160570e+06 0.00e+00 3.20e-01 -11.0 3.19e-01    -  1.00e+00 1.00e+00f  1
  34  1.0155260e+06 0.00e+00 3.20e-01 -11.0 3.20e-01    -  1.00e+00 1.00e+00f  1
  35  1.0149944e+06 0.00e+00 3.20e-01 -11.0 3.20e-01    -  1.00e+00 1.00e+00f  1
  36  1.0144622e+06 0.00e+00 3.20e-01 -11.0 3.20e-01    -  1.00e+00 1.00e+00f  1
  37  1.0139293e+06 0.00e+00 3.20e-01 -11.0 3.20e-01    -  1.00e+00 1.00e+00f  1
  38  1.0133958e+06 0.00e+00 3.20e-01 -11.0 3.20e-01    -  1.00e+00 1.00e+00f  1
  39  1.0128617e+06 0.00e+00 3.21e-01 -11.0 3.20e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.0123270e+06 0.00e+00 3.21e-01 -11.0 3.21e-01    -  1.00e+00 1.00e+00f  1
  41  1.0117917e+06 0.00e+00 3.21e-01 -11.0 3.21e-01    -  1.00e+00 1.00e+00f  1
  42  1.0112557e+06 0.00e+00 3.21e-01 -11.0 3.21e-01    -  1.00e+00 1.00e+00f  1
  43  1.0107191e+06 0.00e+00 3.21e-01 -11.0 3.21e-01    -  1.00e+00 1.00e+00f  1
  44  1.0101819e+06 0.00e+00 3.22e-01 -11.0 3.21e-01    -  1.00e+00 1.00e+00f  1
  45  1.0096440e+06 0.00e+00 3.22e-01 -11.0 3.22e-01    -  1.00e+00 1.00e+00f  1
  46  1.0091056e+06 0.00e+00 3.22e-01 -11.0 3.22e-01    -  1.00e+00 1.00e+00f  1
  47  1.0085665e+06 0.00e+00 3.22e-01 -11.0 3.22e-01    -  1.00e+00 1.00e+00f  1
  48  1.0080267e+06 0.00e+00 3.22e-01 -11.0 3.22e-01    -  1.00e+00 1.00e+00f  1
  49  1.0074864e+06 0.00e+00 3.23e-01 -11.0 3.22e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.0069454e+06 0.00e+00 3.23e-01 -11.0 3.23e-01    -  1.00e+00 1.00e+00f  1
  51  1.0064038e+06 0.00e+00 3.23e-01 -11.0 3.23e-01    -  1.00e+00 1.00e+00f  1
  52  1.0058615e+06 0.00e+00 3.23e-01 -11.0 3.23e-01    -  1.00e+00 1.00e+00f  1
  53  1.0053186e+06 0.00e+00 3.23e-01 -11.0 3.23e-01    -  1.00e+00 1.00e+00f  1
  54  1.0047751e+06 0.00e+00 3.23e-01 -11.0 3.23e-01    -  1.00e+00 1.00e+00f  1
  55  1.0042309e+06 0.00e+00 3.24e-01 -11.0 3.23e-01    -  1.00e+00 1.00e+00f  1
  56  1.0036861e+06 0.00e+00 3.24e-01 -11.0 3.24e-01    -  1.00e+00 1.00e+00f  1
  57  1.0031407e+06 0.00e+00 3.24e-01 -11.0 3.24e-01    -  1.00e+00 1.00e+00f  1
  58  1.0025946e+06 0.00e+00 3.24e-01 -11.0 3.24e-01    -  1.00e+00 1.00e+00f  1
  59  1.0020479e+06 0.00e+00 3.24e-01 -11.0 3.24e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.0015005e+06 0.00e+00 3.25e-01 -11.0 3.24e-01    -  1.00e+00 1.00e+00f  1
  61  1.0009525e+06 0.00e+00 3.25e-01 -11.0 3.25e-01    -  1.00e+00 1.00e+00f  1
  62  1.0004039e+06 0.00e+00 3.25e-01 -11.0 3.25e-01    -  1.00e+00 1.00e+00f  1
  63  9.9985460e+05 0.00e+00 3.25e-01 -11.0 3.25e-01    -  1.00e+00 1.00e+00f  1
  64  9.9930467e+05 0.00e+00 3.25e-01 -11.0 3.25e-01    -  1.00e+00 1.00e+00f  1
  65  9.9875410e+05 0.00e+00 3.26e-01 -11.0 3.25e-01    -  1.00e+00 1.00e+00f  1
  66  9.9820288e+05 0.00e+00 3.26e-01 -11.0 3.26e-01    -  1.00e+00 1.00e+00f  1
  67  9.9765101e+05 0.00e+00 3.26e-01 -11.0 3.26e-01    -  1.00e+00 1.00e+00f  1
  68  9.9709850e+05 0.00e+00 3.26e-01 -11.0 3.26e-01    -  1.00e+00 1.00e+00f  1
