
List of user-set options:

                                    Name   Value                used
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 800                   yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/marcello/Documents/zhaw/BAZL/DRACONIAN/Dymos/gemini_traj_v6_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    16626
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      178
                     variables with only lower bounds:       24
                variables with lower and upper bounds:       87
                     variables with only upper bounds:        0
Total number of equality constraints.................:      141
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  6.9030000e-01 1.25e+00 2.42e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  5.2894467e-01 1.09e+02 1.67e+04   0.7 2.00e+01    -  3.90e-04 5.62e-02F  1
   2  1.3273719e+00 7.69e+01 3.17e+05   1.2 1.49e+01    -  1.00e+00 3.97e-01h  1
   3  1.3202868e+00 6.82e+01 3.75e+05   1.1 2.56e+01    -  1.56e-01 1.19e-01h  1
   4  1.3011756e+00 6.37e+01 2.18e+05   1.1 2.57e+01    -  2.04e-01 6.91e-02h  1
   5  1.2445682e+00 4.46e+01 9.65e+04   1.1 1.99e+01    -  6.08e-01 3.40e-01h  1
   6  1.3045911e+00 3.73e+01 9.45e+04   1.1 2.43e+01    -  1.70e-02 1.69e-01f  1
   7  1.3098722e+00 3.69e+01 9.22e+04   1.1 2.30e+01    -  3.31e-01 1.04e-02h  1
   8  1.3673505e+00 3.34e+01 1.24e+05   1.1 2.35e+01    -  1.00e+00 9.63e-02h  1
   9  1.5647659e+00 2.02e+01 1.11e+05   1.1 2.08e+01    -  1.44e-01 4.26e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.6293826e+00 1.85e+01 1.20e+05   1.1 1.83e+01    -  1.96e-01 9.09e-02h  1
  11  1.4693049e+00 1.42e+01 7.53e+04   1.1 1.89e+01    -  2.16e-01 2.70e-01f  1
  12  2.2779692e+00 1.59e+01 1.01e+04   1.1 1.25e+01    -  1.54e-01 1.00e+00f  1
  13  2.3367821e+00 8.42e+00 2.69e+03   1.1 5.96e+00    -  6.90e-01 1.00e+00f  1
  14  1.4021307e+00 6.02e+00 1.22e+03   1.1 7.52e+00    -  4.30e-01 8.67e-01f  1
  15  1.9977631e+00 4.52e+00 9.28e+02   1.1 5.90e+00    -  6.36e-01 1.00e+00f  1
  16  2.1352474e+00 5.74e+00 1.62e+03   1.1 7.63e+00    -  9.43e-01 1.00e+00f  1
  17  1.6281158e+00 2.76e+00 2.63e+02   1.1 4.45e+00    -  1.00e+00 1.00e+00f  1
  18  2.2376915e+00 1.74e+00 1.07e+02   1.1 6.14e+00    -  1.00e+00 1.00e+00f  1
  19  2.0632086e+00 1.10e+00 4.47e+00  -4.9 2.53e+00    -  9.07e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.7220346e+00 4.53e+00 2.10e+00  -5.9 5.82e+00    -  8.58e-01 1.00e+00h  1
  21  1.4518262e+00 1.87e+01 1.64e+00  -0.9 1.48e+01    -  9.40e-01 1.00e+00h  1
  22  1.6602573e+00 2.69e+01 9.31e-01  -0.9 4.20e+01    -  7.01e-01 1.00e+00h  1
  23  1.5123590e+00 1.95e+01 5.42e-01  -0.9 2.88e+01    -  7.82e-01 1.00e+00h  1
  24 -4.1577781e-01 9.12e+01 1.41e+00  -0.9 7.33e+01    -  1.00e+00 8.51e-01h  1
  25  6.9283836e-01 1.05e+02 3.71e+00  -6.9 1.42e+02    -  1.75e-01 5.29e-01H  1
  26  2.1319344e-01 6.87e+01 3.45e+00  -1.1 8.26e+01    -  4.31e-01 4.16e-01h  1
  27  6.4476707e-01 4.05e+01 2.62e+00  -1.1 3.61e+01    -  6.14e-01 5.00e-01h  2
  28  9.7052704e-01 2.50e+01 2.64e+00  -7.1 6.34e+01    -  4.00e-01 5.00e-01h  2
  29  1.0434111e+00 1.50e+01 8.20e-01  -1.4 6.25e+01    -  8.02e-01 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.0308259e+00 1.43e+01 1.65e+00  -1.4 4.88e+01    -  8.83e-01 5.00e-01h  2
  31  1.1796974e+00 1.93e+01 1.20e+00  -1.4 1.76e+01    -  7.87e-01 5.00e-01h  2
  32  1.3309192e+00 1.36e+01 1.51e+00  -1.4 1.77e+01    -  1.00e+00 1.00e+00h  1
  33  1.3161304e+00 1.13e+01 1.38e+00  -1.4 1.51e+01    -  1.00e+00 1.00e+00h  1
  34  1.0738494e+00 8.32e+00 1.67e+00  -1.4 1.04e+01    -  1.00e+00 1.00e+00h  1
  35  1.2191852e+00 6.97e+00 5.54e-01  -1.4 6.74e+00    -  1.00e+00 1.00e+00h  1
  36  1.3837594e+00 4.25e+00 9.17e-01  -1.4 7.65e+00    -  1.00e+00 1.00e+00h  1
  37  1.3835593e+00 4.50e+00 7.72e-01  -1.4 6.09e+00    -  1.00e+00 5.00e-01h  2
  38  1.5502697e+00 3.00e+00 5.15e-01  -1.4 6.05e+00    -  1.00e+00 1.00e+00h  1
  39  1.5151931e+00 1.13e+00 6.99e-01  -1.4 2.67e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.3285231e+00 4.51e+00 4.80e-01  -2.0 3.32e+00    -  9.85e-01 1.00e+00h  1
  41  1.4648861e+00 1.26e+00 3.14e-01  -2.1 2.01e+00    -  1.00e+00 1.00e+00h  1
  42  1.4689889e+00 1.66e+00 5.27e-01  -2.7 2.13e+00    -  9.97e-01 1.00e+00h  1
  43  1.4125512e+00 9.02e-01 1.38e+00  -1.9 3.03e+00    -  1.00e+00 1.00e+00h  1
  44  1.4290590e+00 1.30e+00 4.92e-01  -2.6 1.28e+00    -  1.00e+00 1.00e+00h  1
  45  1.3784713e+00 7.35e-01 3.05e-01  -2.7 1.51e+00    -  1.00e+00 1.00e+00h  1
  46  1.3499691e+00 1.80e+00 4.58e-01  -2.4 3.81e+00    -  1.00e+00 1.00e+00h  1
  47  1.3307737e+00 1.88e+00 7.13e-01  -2.9 3.30e+00    -  9.99e-01 1.00e+00h  1
  48  1.1499817e+00 3.05e+00 8.50e-01  -3.0 1.12e+01    -  1.00e+00 3.90e-01h  1
  49  1.1566993e+00 1.92e+00 9.06e-01  -3.0 2.58e+00    -  6.89e-01 3.90e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  9.8848075e-01 3.12e+00 5.85e-01  -3.0 7.74e+00    -  1.00e+00 4.86e-01h  1
  51  9.7939818e-01 2.83e+00 3.78e-01  -3.0 4.70e+00    -  9.87e-01 4.42e-01h  1
  52  1.0897421e+00 3.17e+00 7.11e-01  -3.0 3.53e+00    -  1.00e+00 1.00e+00h  1
  53  1.1089962e+00 2.31e+00 8.02e-01  -3.0 5.14e+00    -  6.47e-01 3.74e-01h  2
